season,week,spearman_mean,spearman_std,spearman_p05,spearman_p95,kendall_mean,kendall_std,kendall_p05,kendall_p95
1,1,0.8387428571428572,0.11095272770631837,0.7142857142857143,1.0,0.7161066666666667,0.15460008935920483,0.4666666666666667,1.0
1,2,0.8978207037409957,0.012530921013789083,0.8986451052612952,0.8986451052612952,0.7969400000000001,0.023907790511329154,0.8,0.8
1,3,0.9797499999999998,0.04146214431190332,0.8999999999999998,0.9999999999999999,0.95962,0.08225650255889383,0.8,1.0
1,4,0.6110109813974239,0.048793633740750054,0.5000000000000001,0.632455532033676,0.4730166666666667,0.06139624495304158,0.3333333333333333,0.5
1,5,0.92095,0.1824264932583647,0.5,1.0,0.8946,0.24323532434448694,0.3333333333333333,1.0
1,6,0.3898,0.9209455869254215,-0.9999999999999999,0.9999999999999999,0.3898,0.9209455869254218,-1.0,1.0
2,1,0.9681986395337598,0.023779822004844867,0.9240164263936982,0.9969650916353059,0.8973133333333333,0.055556480929275905,0.8,0.9777777777777777
2,2,0.9741442463616224,0.02334629496466259,0.9288784237188525,0.9958246164193105,0.9162388888888888,0.05181661939558857,0.8055555555555556,0.9722222222222222
2,3,0.8869817819453798,0.03394000706450638,0.8295150620062534,0.9271050693011065,0.7304357142857143,0.06529807483942617,0.6071428571428571,0.8214285714285714
2,4,0.9535142857142859,0.048951054564976254,0.8571428571428573,1.0,0.8996285714285713,0.08523010749951367,0.7142857142857143,1.0
2,5,0.9744412377736471,0.03843635563025052,0.9276336570439174,1.0,0.9397200000000001,0.07629630354621196,0.8,1.0
2,6,0.9367885415310364,0.05333249475616524,0.8720815992723809,0.9999999999999999,0.85082,0.11271467544115964,0.7,1.0
2,7,0.7947473476771408,0.1453183807024892,0.6000000000000001,0.9486832980505139,0.6163166666666667,0.19155559729406366,0.3333333333333333,0.8333333333333334
2,8,0.79245,0.2802781709040299,0.5,1.0,0.7301333333333333,0.34510143846935354,0.3333333333333333,1.0
28,1,0.9591188811188813,0.027135200767435346,0.9090909090909092,0.9930069930069931,0.8809060606060606,0.055745654236404256,0.7878787878787878,0.9696969696969697
28,2,0.9417453077680235,0.03380027533875322,0.8756580854229328,0.9807370556736849,0.838680303030303,0.05988610977344503,0.7272727272727273,0.9242424242424242
