因素,因变量,检验方法,统计量,p值,效应方向,显著性
年龄,最终名次,Pearson,0.4329,0.0,年龄↑名次↑,***
年龄,粉丝投票,Pearson,-0.3428,0.0,年龄↑投票↓,***
年龄,评委评分,Pearson,-0.4277,0.0,年龄↑评分↓,***
行业,最终名次,ANOVA,1.9087,0.1083,-,ns
行业,粉丝投票,ANOVA,0.8119,0.5181,-,ns
行业,评委评分,ANOVA,1.1672,0.3249,-,ns
美国vs非美国,是否获奖,卡方检验,0.0,1.0,-,ns
美国vs非美国,粉丝投票,t检验,-0.2227,0.8238,US<Non-US,ns
美国vs非美国,评委评分,t检验,-0.5179,0.6048,US<Non-US,ns
