season,week,spearman_mean,spearman_std,spearman_p05,spearman_p95,kendall_mean,kendall_std,kendall_p05,kendall_p95
1,1,0.8384,0.11223281221989827,0.7142857142857143,1.0,0.71568,0.15605948887641927,0.4666666666666667,1.0
1,2,0.8977633060249899,0.012522993737809563,0.8986451052612952,0.8986451052612952,0.7968666666666667,0.024112436941470354,0.8,0.8
1,3,0.9797999999999998,0.04128317890100086,0.8999999999999998,0.9999999999999999,0.95972,0.08189543926614289,0.8,1.0
1,4,0.610944753631407,0.04885678466028016,0.5000000000000001,0.632455532033676,0.4729333333333333,0.06147570673990263,0.3333333333333333,0.5
1,5,0.978751629040212,0.04894617244167963,0.8660254037844387,1.0,0.9471333333333334,0.12177973492558403,0.6666666666666666,1.0
1,6,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.6878,0.46343728251292526,0.0,1.0
2,1,0.9678558186718054,0.02393584452483783,0.9240164263936982,0.9969650916353059,0.8965555555555554,0.055888955370005114,0.8,0.9777777777777777
2,2,0.9739019018004649,0.02324208773051701,0.9288784237188525,0.9958246164193105,0.9155222222222222,0.05172484805967216,0.8055555555555556,0.9722222222222222
2,3,0.8865180248350678,0.0348533382940652,0.8295150620062534,0.9271050693011065,0.7300714285714285,0.06634909094286985,0.6071428571428571,0.8214285714285714
2,4,0.9531214285714287,0.04898533583544256,0.8571428571428573,1.0,0.8986095238095239,0.0858300423571233,0.7142857142857143,1.0
2,5,0.9744283483641423,0.03847382187060689,0.9276336570439174,1.0,0.93976,0.07662234180263172,0.8,1.0
2,6,0.9371389262096592,0.05374942098610949,0.8720815992723809,0.9999999999999999,0.85162,0.1137891259876735,0.7,1.0
2,7,0.794648344059684,0.146129516545696,0.6000000000000001,0.9486832980505139,0.6161,0.19255701919464896,0.3333333333333333,0.8333333333333334
2,8,0.9953758754563329,0.028853168845454386,1.0,1.0,0.41666666666666663,0.32264314264722466,0.0,0.6666666666666666
28,1,0.959253146853147,0.02698845995628556,0.9090909090909092,0.9930069930069931,0.881339393939394,0.05559746111953198,0.7878787878787878,0.9696969696969697
28,2,0.9412921254690958,0.03423235398140282,0.8756580854229328,0.9807370556736849,0.8380939393939394,0.06026617300719663,0.7272727272727273,0.9242424242424242
28,3,0.9570448484848485,0.029890274366059164,0.9030303030303028,0.9878787878787878,0.8802577777777778,0.06457624195950498,0.7777777777777778,0.9555555555555556
28,4,0.9135007730975593,0.05135808170401266,0.8145934285312865,0.9878787878787878,0.8125066666666667,0.08463066283588148,0.6666666666666666,0.9555555555555556
28,5,0.9446033333333332,0.04193586294686202,0.8666666666666667,1.0,0.8653555555555554,0.07778085452275992,0.7222222222222222,1.0
28,6,0.7652158743566785,0.11670999749400278,0.5470884839587047,0.9193570532194486,0.6154,0.11921245005273327,0.4166666666666667,0.8055555555555556
