season,week,contestant_id,celebrity_name,ballroom_partner,predicted_elim_prob
28,2,6,Sean Spicer,Lindsay Arnold,0.0
28,2,7,Mary Wilson,Brandon Armstrong,0.4732
28,2,8,Lauren Alaina,Gleb Savchenko,0.0
28,2,9,Ally Brooke,Sasha Farber,0.0
28,2,10,Karamo Brown,Jenna Johnson,0.0
28,2,11,Hannah Brown,Alan Bersten,0.0
28,3,0,Kate Flannery,Pasha Pashkov,0.0
28,3,1,James Van Der Beek,Emma Slater,0.0
28,3,2,Kel Mitchell,Witney Carson,0.0
28,3,4,Lamar Odom,Peta Murgatroyd,0.0
28,3,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,0.0
28,3,6,Sean Spicer,Lindsay Arnold,0.0
28,3,8,Lauren Alaina,Gleb Savchenko,0.0
28,3,9,Ally Brooke,Sasha Farber,0.0
28,3,10,Karamo Brown,Jenna Johnson,0.0
28,3,11,Hannah Brown,Alan Bersten,0.0
28,4,0,Kate Flannery,Pasha Pashkov,0.0
28,4,1,James Van Der Beek,Emma Slater,0.0
28,4,2,Kel Mitchell,Witney Carson,0.0
28,4,4,Lamar Odom,Peta Murgatroyd,1.0
28,4,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,0.0
28,4,6,Sean Spicer,Lindsay Arnold,0.1552
28,4,8,Lauren Alaina,Gleb Savchenko,0.0
28,4,9,Ally Brooke,Sasha Farber,0.0
28,4,10,Karamo Brown,Jenna Johnson,0.0
28,4,11,Hannah Brown,Alan Bersten,0.0
28,5,0,Kate Flannery,Pasha Pashkov,0.0
28,5,1,James Van Der Beek,Emma Slater,0.0
28,5,2,Kel Mitchell,Witney Carson,0.0
28,5,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,0.0
28,5,6,Sean Spicer,Lindsay Arnold,0.0
28,5,8,Lauren Alaina,Gleb Savchenko,0.0
28,5,9,Ally Brooke,Sasha Farber,0.0
28,5,10,Karamo Brown,Jenna Johnson,0.0
28,5,11,Hannah Brown,Alan Bersten,0.0
28,6,0,Kate Flannery,Pasha Pashkov,0.0
28,6,1,James Van Der Beek,Emma Slater,0.0
28,6,2,Kel Mitchell,Witney Carson,0.0
28,6,5,Sailor Brinkley-Cook,Valentin Chmerkovskiy,0.0006
28,6,6,Sean Spicer,Lindsay Arnold,0.9988
28,6,8,Lauren Alaina,Gleb Savchenko,0.0
28,6,9,Ally Brooke,Sasha Farber,0.0
28,6,10,Karamo Brown,Jenna Johnson,0.0
28,6,11,Hannah Brown,Alan Bersten,0.0012
28,7,0,Kate Flannery,Pasha Pashkov,0.002
28,7,1,James Van Der Beek,Emma Slater,0.0
28,7,2,Kel Mitchell,Witney Carson,0.0
28,7,6,Sean Spicer,Lindsay Arnold,0.9976
28,7,8,Lauren Alaina,Gleb Savchenko,0.0
28,7,9,Ally Brooke,Sasha Farber,0.0
28,7,10,Karamo Brown,Jenna Johnson,0.2926
28,7,11,Hannah Brown,Alan Bersten,0.0
28,8,0,Kate Flannery,Pasha Pashkov,0.0206
28,8,1,James Van Der Beek,Emma Slater,0.0
28,8,2,Kel Mitchell,Witney Carson,0.0
28,8,6,Sean Spicer,Lindsay Arnold,1.0
28,8,8,Lauren Alaina,Gleb Savchenko,0.0
28,8,9,Ally Brooke,Sasha Farber,0.0
28,8,11,Hannah Brown,Alan Bersten,0.0
28,9,1,James Van Der Beek,Emma Slater,0.0
28,9,2,Kel Mitchell,Witney Carson,0.0
28,9,6,Sean Spicer,Lindsay Arnold,1.0
28,9,8,Lauren Alaina,Gleb Savchenko,0.0
28,9,9,Ally Brooke,Sasha Farber,0.0
28,9,11,Hannah Brown,Alan Bersten,0.0
28,10,1,James Van Der Beek,Emma Slater,0.9838
28,10,2,Kel Mitchell,Witney Carson,0.0002
28,10,8,Lauren Alaina,Gleb Savchenko,0.0534
28,10,9,Ally Brooke,Sasha Farber,0.0
28,10,11,Hannah Brown,Alan Bersten,0.0576
28,11,2,Kel Mitchell,Witney Carson,0.0
28,11,8,Lauren Alaina,Gleb Savchenko,0.0
28,11,9,Ally Brooke,Sasha Farber,0.0
28,11,11,Hannah Brown,Alan Bersten,0.0
29,1,0,Anne Heche,Keo Motsepe,0.0
29,1,1,Jesse Metcalfe,Sharna Burgess,0.0
29,1,2,Chrishell Stause,Gleb Savchenko,0.0
29,1,3,Skai Jackson,Alan Bersten,0.0
29,1,4,Justina Machado,Sasha Farber,0.0
29,1,5,Charles Oakley,Emma Slater,0.0
29,1,6,Veron Davis,Peta Murgatroyd,0.0
29,1,7,Johnny Weir,Britt Stewart,0.0
29,1,8,Nev Schulman,Jenna Johnson,0.0
29,1,9,AJ McLean,Cheryl Burke,0.0
29,1,10,Nelly,Daniella Karagach,0.0
29,1,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0
29,1,12,Carole Baskin,Pasha Pashkov,0.0
29,1,13,Monica Aldama,Valentin Chmerkovskiy,0.0
29,1,14,Jeannie Mai,Brandon Armstrong,0.0
29,2,0,Anne Heche,Keo Motsepe,0.0
29,2,1,Jesse Metcalfe,Sharna Burgess,0.0
29,2,2,Chrishell Stause,Gleb Savchenko,0.0
29,2,3,Skai Jackson,Alan Bersten,0.434
29,2,4,Justina Machado,Sasha Farber,0.0
29,2,5,Charles Oakley,Emma Slater,0.7998
29,2,6,Veron Davis,Peta Murgatroyd,0.0
29,2,7,Johnny Weir,Britt Stewart,0.0
29,2,8,Nev Schulman,Jenna Johnson,0.0
29,2,9,AJ McLean,Cheryl Burke,0.0
29,2,10,Nelly,Daniella Karagach,0.0
29,2,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0
29,2,12,Carole Baskin,Pasha Pashkov,0.056
29,2,13,Monica Aldama,Valentin Chmerkovskiy,0.052
29,2,14,Jeannie Mai,Brandon Armstrong,0.0
29,3,0,Anne Heche,Keo Motsepe,0.002
29,3,1,Jesse Metcalfe,Sharna Burgess,0.0
29,3,2,Chrishell Stause,Gleb Savchenko,0.0
29,3,3,Skai Jackson,Alan Bersten,0.0
29,3,4,Justina Machado,Sasha Farber,0.0
29,3,6,Veron Davis,Peta Murgatroyd,0.0
29,3,7,Johnny Weir,Britt Stewart,0.0
29,3,8,Nev Schulman,Jenna Johnson,0.0
29,3,9,AJ McLean,Cheryl Burke,0.0
29,3,10,Nelly,Daniella Karagach,0.0
29,3,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0
29,3,12,Carole Baskin,Pasha Pashkov,1.0
29,3,13,Monica Aldama,Valentin Chmerkovskiy,0.0
29,3,14,Jeannie Mai,Brandon Armstrong,0.0
29,4,0,Anne Heche,Keo Motsepe,0.462
29,4,1,Jesse Metcalfe,Sharna Burgess,0.2444
29,4,2,Chrishell Stause,Gleb Savchenko,0.0174
29,4,3,Skai Jackson,Alan Bersten,0.0
29,4,4,Justina Machado,Sasha Farber,0.0
29,4,6,Veron Davis,Peta Murgatroyd,0.0168
29,4,7,Johnny Weir,Britt Stewart,0.0
29,4,8,Nev Schulman,Jenna Johnson,0.0
29,4,9,AJ McLean,Cheryl Burke,0.0
29,4,10,Nelly,Daniella Karagach,0.2404
29,4,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0
29,4,13,Monica Aldama,Valentin Chmerkovskiy,0.0
29,4,14,Jeannie Mai,Brandon Armstrong,0.2368
29,5,1,Jesse Metcalfe,Sharna Burgess,0.9812
29,5,2,Chrishell Stause,Gleb Savchenko,0.49
29,5,3,Skai Jackson,Alan Bersten,0.0
29,5,4,Justina Machado,Sasha Farber,0.0
29,5,6,Veron Davis,Peta Murgatroyd,0.004
29,5,7,Johnny Weir,Britt Stewart,0.0
29,5,8,Nev Schulman,Jenna Johnson,0.0
29,5,9,AJ McLean,Cheryl Burke,0.0
29,5,10,Nelly,Daniella Karagach,0.0
29,5,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0
29,5,13,Monica Aldama,Valentin Chmerkovskiy,0.0
29,5,14,Jeannie Mai,Brandon Armstrong,0.0
29,6,2,Chrishell Stause,Gleb Savchenko,0.0
29,6,3,Skai Jackson,Alan Bersten,0.9994
29,6,4,Justina Machado,Sasha Farber,0.0
29,6,6,Veron Davis,Peta Murgatroyd,0.8446
29,6,7,Johnny Weir,Britt Stewart,0.0
29,6,8,Nev Schulman,Jenna Johnson,0.0
29,6,9,AJ McLean,Cheryl Burke,0.0
29,6,10,Nelly,Daniella Karagach,0.0
29,6,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0
29,6,13,Monica Aldama,Valentin Chmerkovskiy,0.0
29,6,14,Jeannie Mai,Brandon Armstrong,0.0
29,7,2,Chrishell Stause,Gleb Savchenko,0.0
29,7,3,Skai Jackson,Alan Bersten,0.0
29,7,4,Justina Machado,Sasha Farber,0.0
29,7,7,Johnny Weir,Britt Stewart,0.0
29,7,8,Nev Schulman,Jenna Johnson,0.0
29,7,9,AJ McLean,Cheryl Burke,0.0
29,7,10,Nelly,Daniella Karagach,0.0
29,7,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0222
29,7,13,Monica Aldama,Valentin Chmerkovskiy,0.9996
29,7,14,Jeannie Mai,Brandon Armstrong,0.0016
29,8,2,Chrishell Stause,Gleb Savchenko,0.3256
29,8,3,Skai Jackson,Alan Bersten,0.0006
29,8,4,Justina Machado,Sasha Farber,0.0
29,8,7,Johnny Weir,Britt Stewart,0.0
29,8,8,Nev Schulman,Jenna Johnson,0.0
29,8,9,AJ McLean,Cheryl Burke,0.0008
29,8,10,Nelly,Daniella Karagach,0.997
29,8,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0
29,9,3,Skai Jackson,Alan Bersten,0.0
29,9,4,Justina Machado,Sasha Farber,0.0132
29,9,7,Johnny Weir,Britt Stewart,0.0
29,9,8,Nev Schulman,Jenna Johnson,0.0
29,9,9,AJ McLean,Cheryl Burke,0.8482
29,9,10,Nelly,Daniella Karagach,0.8316
29,9,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0
29,10,3,Skai Jackson,Alan Bersten,0.6492
29,10,4,Justina Machado,Sasha Farber,0.121
29,10,7,Johnny Weir,Britt Stewart,0.625
29,10,8,Nev Schulman,Jenna Johnson,0.0088
29,10,10,Nelly,Daniella Karagach,0.7444
29,10,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0084
29,11,4,Justina Machado,Sasha Farber,0.0
29,11,8,Nev Schulman,Jenna Johnson,0.0
29,11,10,Nelly,Daniella Karagach,0.0
29,11,11,Kaitlyn Bristowe,Artem Chigvintsev,0.0
30,1,0,Martin Kove,Britt Stewart,0.0
30,1,1,Brian Austin Green,Sharna Burgess,0.0
30,1,2,Melora Hardin,Artem Chigvintsev,0.0
30,1,3,Matt James,Lindsay Arnold,0.0
30,1,4,"Mike ""The Miz"" Mizanin",Witney Carson,0.0
30,1,5,Suni Lee,Sasha Farber,0.0
30,1,6,Iman Shumpert,Daniella Karagach,0.0
30,1,7,Cody Rigsby,Cheryl Burke,0.0
30,1,8,Melanie C,Gleb Savchenko,0.0
30,1,9,Jimmie Allen,Emma Slater,0.0
30,1,10,Olivia Jade,Valentin Chmerkovskiy,0.0
30,1,11,JoJo Siwa,Jenna Johnson,0.0
30,1,12,Christine Chiu,Pasha Pashkov,0.0
30,1,13,Kenya Moore,Brandon Armstrong,0.0
30,1,14,Amanda Kloots,Alan Bersten,0.0
30,2,0,Martin Kove,Britt Stewart,1.0
30,2,1,Brian Austin Green,Sharna Burgess,0.0
30,2,2,Melora Hardin,Artem Chigvintsev,0.0
30,2,3,Matt James,Lindsay Arnold,0.0
