lambda,smoothness,margin,entropy,constraint_satisfaction,min_margin,score
0.01,0.014731497676337512,0.005140605739155802,2.1600773265252977,1.0,0.0009999999999999454,0.0
0.1,0.014659458998164836,0.005428876219941665,2.160075150806809,1.0,0.0009999999999998899,0.014984310631048204
0.5,0.014376025099284543,0.006678043696748251,2.160032483725929,1.0,0.0009999999999998344,0.07751840893353026
1.0,0.014074504733677558,0.008241544558217361,2.15992525848641,1.0,0.0009999999999998621,0.15134585704662595
2.0,0.01359853420794693,0.01064429989910306,2.1596195934460374,1.0,0.0009999999999998344,0.2658538056342539
5.0,0.012700705248524376,0.014847677359197817,2.1583689045603074,1.0,0.0009999999999998344,0.4716119099342816
10.0,0.011829998986251042,0.018284045623655768,2.1557319539988993,1.0,0.0009999999999997788,0.6512324358339974
20.0,0.010785096393290734,0.021587458319372196,2.149481407788327,1.0,0.0009999999999993903,0.8412508718137854
50.0,0.009120248619574339,0.025461351845792474,2.126343840564967,1.0,0.000999999999997614,1.1007595287779628
100.0,0.007629525330650685,0.028271083556769126,2.0793726181008236,1.0,0.0009999999998163284,1.312614304216245
200.0,0.005948978041066502,0.031234096750014134,1.9850910551984369,1.0,0.000999999999969775,1.5450806198052545
500.0,0.003882009289024976,0.03499473833415721,1.790172814723854,1.0,0.0009999999995208841,1.8346203515774322
1000.0,0.002747990496845615,0.03726766412028348,1.6256855453051007,1.0,0.0009999999910214746,2.0
