name,weight,feature_mean,feature_std,type
judge_percent_std,-0.12137607445831124,0.12418627941912869,0.05774917593140402,feature
age_std,-0.006616230140384457,35.84977466199299,13.068536496813703,feature
industry_Actor/Actress,-0.022532465338831246,,,feature
industry_Astronaut,0.010332794012063459,,,feature
industry_Athlete,9.796048729023531e-05,,,feature
industry_Beauty Pagent,-0.2764279984516981,,,feature
industry_Comedian,0.01923501300427643,,,feature
industry_Entrepreneur,-0.03129524759132679,,,feature
industry_Fashion Designer,-0.13472060531047872,,,feature
industry_Military,0.19439546424855586,,,feature
industry_Model,-0.09029870509007808,,,feature
industry_Motivational Speaker,0.22295533991729763,,,feature
industry_Musician,0.15258877003505414,,,feature
industry_News Anchor,0.13843720214090027,,,feature
industry_Other,-0.20598419055348033,,,feature
industry_Politician,-0.04125152515536232,,,feature
industry_Racing Driver,0.08565314926868216,,,feature
industry_Radio Personality,-0.024633373760153333,,,feature
industry_Singer/Rapper,-0.04676572948796751,,,feature
industry_Social Media Personality,-0.0502619926352302,,,feature
industry_Sports Broadcaster,0.08456601736645761,,,feature
industry_TV Personality,0.008018028988623947,,,feature
country_Argentina,-0.07887728479983494,,,feature
country_Australia,0.012996560077714344,,,feature
country_Brazil,-0.10945053457957334,,,feature
country_Canada,-0.01674286000644887,,,feature
country_Chile,-0.00606141769342503,,,feature
country_Croatia,0.1366201928137792,,,feature
country_Cuba,0.22466799143853342,,,feature
country_Czechoslovakia,-0.10475038120103172,,,feature
country_England,0.030718083543055545,,,feature
country_France,-0.013054207994404403,,,feature
country_Germany,0.012949242186951817,,,feature
country_Ireland,0.23264217824890737,,,feature
country_Italy,-0.07330042591713094,,,feature
country_Other,-0.2833745357577051,,,feature
country_Philippines,-0.058558686550217315,,,feature
country_Poland,0.04770442769840102,,,feature
country_Russia,-0.03603747843475072,,,feature
country_South Africa,-0.12512212603614153,,,feature
country_South Korea,0.0993437556916686,,,feature
country_Spain,-0.10707593322322065,,,feature
country_United States,0.005995147058915694,,,feature
country_Wales,0.24784905825658463,,,feature
